Exchange,ErrorCode,ErrorMsg
大商所,41095,批量双边报价动作指令错误
大商所,41096,批量双边报价不支持单边报入
大商所,41097,会员风控账户号不存在
大商所,41098,可用额度不正确
大商所,41099,该风控账户该合约不可交易
大商所,41100,该风控账户该合约只可平仓
大商所,41101,批量双边定单合约号重复
大商所,41102,批量双边报价两腿操作不能都是无
大商所,41103,该品种不存在
大商所,41104,无品种GIS 权限
大商所,41105,做市商在该品种无批量双边报价权限
大商所,41106,无一键撤单权限
大商所,41107,系统未设置带保护市价单参数
大商所,41108,价格保护范围不在合理限制内
大商所,41109,批量双边报价域的对数不在合理范围
大商所,41110,批量双边报价域最大个数不存在
大商所,41111,UDS合约不存在
大商所,41112,UDS合约行情不存在
大商所,41113,定单类别与合约不符
大商所,41119,此类定单不允许修改
大商所,41120,已超过最大修改次数
大商所,41124,该品种不支持批量双边报价定单
大商所,41125,批量双边指令卖价必须大于买价
大商所,41126,该品种只支持做市商下批量双边报价定单
大商所,41127,UDS各腿合约交易状态不一致
大商所,41128,交易编码检查不通过
大商所,41129,下单数量超过交易指令的最大最小手数
大商所,41130,本地报单号超过最大值
大商所,41131,期权套保业务未开启
大商所,41132,客户检查错误
大商所,51001,结算帐号对应的交易资金不存在
大商所,51002,套利合约不存在
大商所,51003,套利策略规则表里不存在此记录
大商所,51004,委托表没有系统号对应的记录
大商所,51005,委托单不存在
大商所,51006,合约行情不存在
大商所,51007,成交批次号对应的持仓明细不存在
大商所,51008,席位不存在
大商所,51009,席位会员关系不正确
大商所,51010,席位密码不正确
大商所,51011,席位已经登录
大商所,51012,席位已经登出
大商所,51013,席位没有登录
大商所,51014,控制模式改变失败
大商所,51015,市场状态改变失败
大商所,51016,用户不存在
大商所,51017,用户密码不正确
大商所,51018,用户已经登录
大商所,51019,用户已经登出
大商所,51020,用户没有登录
大商所,51021,不允许从当前状态直接转变到目的状态
大商所,51022,非超级登录不能禁用CA
大商所,51023,新密码长度不满足要求
大商所,51024,密码修改的差异度不够
大商所,51025,票号对应的资金已经正常入库
大商所,51026,出金资金不够
大商所,51027,场上不允许出金
大商所,51028,发送数据包失败
大商所,51029,查无记录
大商所,51030,初次登录修改初始密码，否下次不能登录
大商所,51031,初次登录没有修改初始密码，席位被冻结
大商所,51032,席位被冻结
大商所,51033,密码有效参数不存在
大商所,51034,登录失败有效参数不存在
大商所,51035,登录密码过期，联系系统管理员重置密码
大商所,51036,结算账户表中不存在对应的结算账户
大商所,51037,结算准备金最低余额表不存在相应的记录
大商所,51038,期权执行申请失败
大商所,51039,期权执行申请单不存在
大商所,51040,用户已经存在
大商所,51041,合约交易权限已经存在
大商所,51042,合约交易权限不存在
大商所,51043,席位交易权限已经存在
大商所,6004,4 席位交易权限不存在
大商所,51045,客户交易权限已经存在
大商所,51046,客户交易权限不存在
大商所,51047,交易权限不正确
大商所,51048,密码到期提示时间不存在
大商所,51050,操作类型错误
大商所,51051,交易所代码对应的交易所不存在
大商所,51052,没有客户持仓
大商所,51053,客户不存在
大商所,51054,不需要资金不够强平
大商所,51055,系统未处暂停状态，不能手动生成强平单
大商所,51056,本日已做过生成强平处理，是否再次生成
大商所,51057,本日还没强平
大商所,51058,同一个交易日不允许倒着时间切换状态
大商所,51060,会员客户检查不通过
大商所,51061,客户优惠组合持仓表无相应记录
大商所,51062,客户套利持仓表无相应记录
大商所,51063,组合优惠表不存在组合合约
大商所,51064,优惠组合比例表不存在组合合约
大商所,51065,行情席位不允许在交易后台修改密码
大商所,51066,当前是自动模式
大商所,51067,没有境外客户组限仓
大商所,51068,交易席位不允许在行情服务修改密码
大商所,51072,初次登录没有修改初始密码，席位被冻结
大商所,51073,用户被冻结
大商所,51076,IP地址不正确
大商所,51077,资金不够
大商所,51078,席位信用额度不够
大商所,51079,交易编码无交易保证金
大商所,51080,数量不合理
大商所,51081,系统处于夜盘暂停，不能手动生成强平单
大商所,51082,踢除所有席位失败
大商所,51083,定单类别不是期权执行申请
大商所,51084,组合状态必须是组合或解锁
大商所,51085,优惠组合持仓量不足
大商所,51086,组合合约两腿所属品种的交易状态不一致
大商所,51087,单腿持仓不足
大商所,51088,只允许一个数据域
大商所,51089,超出预留范围
大商所,51090,实控组权限已经存在
大商所,51091,实控组权限不存在
大商所,51092,会员持仓不存在
大商所,51093,单腿持仓记录不存在
大商所,51094,批次号记录不存在
大商所,51095,可用风控账户组额度不足
大商所,51096,分会员检查不通过
大商所,51097,撮合返回成交号顺序有错误
大商所,51098,会员对应的风控账户额度不存在
大商所,51099,改单价格或数量均未发生变化
大商所,51100,修改数量小于等于已成交数量
大商所,51101,不能修改强平单
大商所,51104,风控账户组权限已经存在
大商所,51105,风控账户组权限不存在
大商所,51106,批量双边报价所有子域全部错误
大商所,51107,风控账户组额度不存在
大商所,51108,不能修改强平修改的委托
大商所,51070,品种控制模式改变失败
大商所,51071,品种控制模式错误
大商所,52001,合约状态不存在
大商所,52002,市场状态不存在
大商所,52003,熔断合约状态不存在
大商所,52004,品种状态改变失败
大商所,52005,合约状态改变失败
大商所,52006,风控账户额度修改值无效
大商所,52007,品种状态查询失败
大商所,52008,品种状态不存在
大商所,52010,品种不支持开放式集合竞价
大商所,52011,当前标的期货状态为暂停不允许此操作
大商所,52012,新密码不存在数字
大商所,52013,新密码不存在英文字符
大商所,52014,新密码不存在大写字母
